Rank,Agent,Gen,Gender,Pregnancy,Children,Heterozygous,Homozygous,Size,Life,Stamina,Hunger,Starving
0,Sheep,1,Female,0,0,0,0,23,47108,9993414,19986862,false
1,Sheep,1,Male,0,0,0,0,19,67953,8862276,17724578,false
2,Sheep,1,Female,0,0,0,0,20,59818,10003984,20007996,false
3,Sheep,1,Male,0,0,0,0,16,59935,10000050,20000120,false
4,Sheep,1,Female,0,0,0,0,24,72315,11527811,23055658,false
5,Sheep,1,Male,0,0,0,0,22,59936,10003730,20007492,false
6,Sheep,1,Female,0,0,0,0,20,64893,7386235,14772498,false
7,Sheep,1,Male,0,0,0,0,24,57453,10000048,20000132,false
8,Sheep,1,Female,0,0,0,0,20,72149,6925388,13850804,false
9,Sheep,1,Male,0,0,0,0,26,59835,10619090,21238220,false
10,Sheep,1,Female,0,0,0,0,20,59935,7228334,14456696,false
11,Sheep,1,Male,0,0,0,0,20,57391,10232325,20464678,false
12,Sheep,1,Female,0,0,0,0,19,58982,9810379,19620784,false
13,Sheep,1,Male,0,0,0,0,20,59961,6007276,12014580,false
14,Sheep,1,Female,0,0,0,0,22,46274,9687207,19374446,false
15,Sheep,1,Male,0,0,0,0,21,61564,7893225,15786480,false
16,Sheep,1,Female,0,0,0,0,20,59843,10214810,20429648,false
17,Sheep,1,Male,0,0,0,0,20,44822,9802211,19604450,false
18,Sheep,1,Female,0,0,0,0,20,59934,9999842,19999712,false
19,Sheep,1,Male,0,0,0,0,20,59935,10063375,20126778,false
20,Sheep,1,Female,0,0,0,0,21,59935,10044877,20089784,false
21,Sheep,1,Male,0,0,0,0,19,59920,10202459,20404944,false
22,Sheep,1,Female,0,0,0,0,23,59934,8859845,17719724,false
23,Sheep,1,Male,0,0,0,0,20,59935,9228990,18458008,false
24,Sheep,1,Female,0,0,0,0,19,50673,12902512,25805050,false
25,Sheep,1,Male,0,0,0,0,19,57937,10000380,20000786,false
26,Sheep,1,Female,0,0,0,0,20,44619,10004265,20008558,false
27,Sheep,1,Male,0,0,0,0,23,60342,10057722,20115478,false
28,Sheep,1,Female,0,0,0,0,25,59931,11862033,23724104,false
29,Sheep,1,Male,0,0,0,0,19,57025,7899845,15799716,false
30,Sheep,1,Female,0,0,0,0,13,57265,9534684,19069382,false
31,Sheep,1,Male,0,0,0,0,19,76709,9999925,19999876,false
32,Sheep,1,Female,0,0,0,0,20,59935,10000004,20000036,false
33,Sheep,1,Male,0,0,0,0,20,61472,9999493,19999014,false
34,Sheep,1,Female,0,0,0,0,20,59031,10001265,20002558,false
35,Sheep,1,Male,0,0,0,0,19,61161,10000008,20000042,false
36,Sheep,1,Female,0,0,0,0,19,59935,13322809,26645644,false
37,Sheep,1,Male,0,0,0,0,20,70084,9998659,19997346,false
38,Sheep,1,Female,0,0,0,0,19,59935,6132192,12264410,false
39,Sheep,1,Male,0,0,0,0,22,59605,9433957,18867946,false
40,Sheep,1,Female,0,0,0,0,20,59935,8206381,16412790,false
41,Sheep,1,Male,0,0,0,0,20,59935,8874475,17748978,false
42,Sheep,1,Female,0,0,0,0,23,59934,9961446,19922926,false
43,Sheep,1,Male,0,0,0,0,26,59912,12235937,24471914,false
44,Sheep,1,Female,0,0,0,0,20,53408,9999961,19999950,false
45,Sheep,1,Male,0,0,0,0,20,40535,6986652,13973332,false
46,Sheep,1,Female,0,0,0,0,20,59934,11551885,23103798,false
47,Sheep,1,Male,0,0,0,0,19,58711,13181564,26363154,false
48,Sheep,1,Female,0,0,0,0,19,59946,9611870,19223766,false
49,Sheep,1,Male,0,0,0,0,18,59907,9998388,19996800,false
