Agent,value x,value y,value z
Name,Sheep,Herbivore,10127
Gender,Male,,
Generation,1,,
Sex appeal,100,,
Multiple pregnancy,46.09899,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,60786,60800,
Size,19,19,
Stamina,9717105,9717105,
Sense range,792,,
Velocity,6.0,,
Position,-32.99763,670.77014,652.6278
Satiate,true,,
Starving,false,,
Hunger,19434248,,
Leptin,24292810,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
