Agent,value x,value y,value z
Name,Sheep,Herbivore,2618
Gender,Male,,
Generation,1,,
Sex appeal,74,,
Multiple pregnancy,49.95099,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,51929,51943,
Size,19,19,
Stamina,10009716,10009716,
Sense range,851,,
Velocity,5.0,,
Position,1611.1604,525.81506,1141.387
Satiate,true,,
Starving,false,,
Hunger,20019470,,
Leptin,25024338,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
