Agent,value x,value y,value z
Name,Sheep,Herbivore,10754
Gender,Male,,
Generation,1,,
Sex appeal,95,,
Multiple pregnancy,58.142986,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59977,59991,
Size,19,19,
Stamina,9999949,9999949,
Sense range,1019,,
Velocity,4.0,,
Position,333.72382,-225.10902,-721.2301
Satiate,true,,
Starving,false,,
Hunger,19999936,,
Leptin,24999920,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
