Agent,value x,value y,value z
Name,Sheep,Herbivore,8875
Gender,Male,,
Generation,1,,
Sex appeal,61,,
Multiple pregnancy,49.93601,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,61138,61152,
Size,19,19,
Stamina,10075581,10075581,
Sense range,710,,
Velocity,6.0,,
Position,197.93158,767.8198,-229.0907
Satiate,true,,
Starving,false,,
Hunger,20151200,,
Leptin,25189000,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
