Agent,value x,value y,value z
Name,Sheep,Herbivore,17562
Gender,Male,,
Generation,1,,
Sex appeal,105,,
Multiple pregnancy,39.49056,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,45722,45736,
Size,20,20,
Stamina,9990919,9990919,
Sense range,1024,,
Velocity,5.0,,
Position,1151.2347,-191.8971,996.11255
Satiate,true,,
Starving,false,,
Hunger,19981878,,
Leptin,24977348,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
