Agent,value x,value y,value z
Name,Sheep,Herbivore,19984
Gender,Male,,
Generation,1,,
Sex appeal,100,,
Multiple pregnancy,49.99998,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59961,60026,
Size,20,20,
Stamina,6007276,6007276,
Sense range,1019,,
Velocity,5.0,,
Position,1143.2356,-466.02374,-1068.1309
Satiate,true,,
Starving,false,,
Hunger,12014580,,
Leptin,15018240,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
