Agent,value x,value y,value z
Name,Sheep,Herbivore,20707
Gender,Male,,
Generation,1,,
Sex appeal,107,,
Multiple pregnancy,47.7576,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,57937,58002,
Size,19,19,
Stamina,10000380,10000380,
Sense range,1012,,
Velocity,6.0,,
Position,302.51044,120.79535,481.53912
Satiate,true,,
Starving,false,,
Hunger,20000786,,
Leptin,25000998,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
