Agent,value x,value y,value z
Name,Sheep,Herbivore,24601
Gender,Male,,
Generation,1,,
Sex appeal,108,,
Multiple pregnancy,50.01548,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,61161,61226,
Size,19,19,
Stamina,10000008,10000008,
Sense range,947,,
Velocity,6.0,,
Position,938.99524,951.24133,618.7679
Satiate,true,,
Starving,false,,
Hunger,20000042,,
Leptin,25000068,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
