Agent,value x,value y,value z
Name,Sheep,Herbivore,17045
Gender,Male,,
Generation,1,,
Sex appeal,136,,
Multiple pregnancy,49.999542,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59935,60000,
Size,20,20,
Stamina,10063375,10063375,
Sense range,877,,
Velocity,7.0,,
Position,865.4663,-323.45395,-1808.4911
Satiate,true,,
Starving,false,,
Hunger,20126778,,
Leptin,25158488,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
