Agent,value x,value y,value z
Name,Sheep,Herbivore,27876
Gender,Male,,
Generation,1,,
Sex appeal,94,,
Multiple pregnancy,49.99994,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,67953,68018,
Size,19,19,
Stamina,8862276,8862276,
Sense range,1105,,
Velocity,6.0,,
Position,469.59464,974.05426,-1660.3414
Satiate,true,,
Starving,false,,
Hunger,17724578,,
Leptin,22155738,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
