Agent,value x,value y,value z
Name,Sheep,Herbivore,30426
Gender,Male,,
Generation,1,,
Sex appeal,95,,
Multiple pregnancy,49.992977,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,57391,57456,
Size,20,20,
Stamina,10232325,10232325,
Sense range,1359,,
Velocity,6.0,,
Position,1743.9897,158.98985,-49.769135
Satiate,true,,
Starving,false,,
Hunger,20464678,,
Leptin,25580862,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
