Agent,value x,value y,value z
Name,Sheep,Herbivore,14886
Gender,Male,,
Generation,1,,
Sex appeal,110,,
Multiple pregnancy,49.992107,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59936,60001,
Size,22,22,
Stamina,10003730,10003730,
Sense range,947,,
Velocity,5.0,,
Position,2455.2312,400.65503,-932.5831
Satiate,true,,
Starving,false,,
Hunger,20007492,,
Leptin,25009380,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
