Agent,value x,value y,value z
Name,Sheep,Herbivore,11379
Gender,Male,,
Generation,1,,
Sex appeal,94,,
Multiple pregnancy,39.665054,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59920,59985,
Size,19,19,
Stamina,10202459,10202459,
Sense range,1376,,
Velocity,5.0,,
Position,508.68445,1181.0356,1284.0846
Satiate,true,,
Starving,false,,
Hunger,20404944,,
Leptin,25506196,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
