Agent,value x,value y,value z
Name,Sheep,Herbivore,18042
Gender,Male,,
Generation,1,,
Sex appeal,105,,
Multiple pregnancy,49.999767,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,61564,61629,
Size,21,21,
Stamina,7893225,7893225,
Sense range,1020,,
Velocity,5.0,,
Position,-65.259346,1172.1359,999.86395
Satiate,true,,
Starving,false,,
Hunger,15786480,,
Leptin,19733116,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
