Agent,value x,value y,value z
Name,Sheep,Herbivore,19167
Gender,Male,,
Generation,1,,
Sex appeal,172,,
Multiple pregnancy,49.900127,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59912,59977,
Size,26,26,
Stamina,12235937,12235937,
Sense range,989,,
Velocity,7.0,,
Position,2008.9973,1401.0988,1942.9515
Satiate,true,,
Starving,false,,
Hunger,24471914,,
Leptin,30589908,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
