Agent,value x,value y,value z
Name,Sheep,Herbivore,29512
Gender,Male,,
Generation,1,,
Sex appeal,114,,
Multiple pregnancy,61.265877,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,57453,57518,
Size,24,24,
Stamina,10000048,10000048,
Sense range,651,,
Velocity,5.0,,
Position,-82.2755,28.408096,925.8285
Satiate,true,,
Starving,false,,
Hunger,20000132,,
Leptin,25000180,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
