Agent,value x,value y,value z
Name,Sheep,Herbivore,10752
Gender,Male,,
Generation,1,,
Sex appeal,99,,
Multiple pregnancy,50.00297,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59935,60000,
Size,20,20,
Stamina,8874475,8874475,
Sense range,1019,,
Velocity,6.0,,
Position,1235.8383,1299.8983,898.7198
Satiate,true,,
Starving,false,,
Hunger,17748978,,
Leptin,22186238,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
