Agent,value x,value y,value z
Name,Sheep,Herbivore,31284
Gender,Male,,
Generation,1,,
Sex appeal,89,,
Multiple pregnancy,51.243755,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59907,59972,
Size,18,18,
Stamina,9998388,9998388,
Sense range,1018,,
Velocity,4.0,,
Position,117.32762,1474.3822,535.35846
Satiate,true,,
Starving,false,,
Hunger,19996800,,
Leptin,24996016,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
