Agent,value x,value y,value z
Name,Sheep,Herbivore,3584
Gender,Male,,
Generation,1,,
Sex appeal,143,,
Multiple pregnancy,50.000008,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59835,59900,
Size,26,26,
Stamina,10619090,10619090,
Sense range,1053,,
Velocity,6.0,,
Position,1741.3802,585.6853,535.9614
Satiate,true,,
Starving,false,,
Hunger,21238220,,
Leptin,26547790,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
