Agent,value x,value y,value z
Name,Sheep,Herbivore,28493
Gender,Male,,
Generation,1,,
Sex appeal,94,,
Multiple pregnancy,54.606514,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,57025,57090,
Size,19,19,
Stamina,7899845,7899845,
Sense range,1019,,
Velocity,6.0,,
Position,1488.484,1113.2957,-1327.8864
Satiate,true,,
Starving,false,,
Hunger,15799716,,
Leptin,19749660,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
