Agent,value x,value y,value z
Name,Sheep,Herbivore,14181
Gender,Male,,
Generation,1,,
Sex appeal,94,,
Multiple pregnancy,49.999973,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59699,59999,
Size,19,19,
Stamina,9999999,9999999,
Sense range,949,,
Velocity,5.0,,
Position,1391.9601,1116.5912,2425.667
Satiate,true,,
Starving,false,,
Hunger,20000032,,
Leptin,25000044,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
