Agent,value x,value y,value z
Name,Sheep,Herbivore,13856
Gender,Male,,
Generation,1,,
Sex appeal,102,,
Multiple pregnancy,62.254715,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59701,60001,
Size,27,27,
Stamina,6762150,6762150,
Sense range,1027,,
Velocity,5.0,,
Position,2345.5461,886.3242,118.82127
Satiate,true,,
Starving,false,,
Hunger,13524350,,
Leptin,16905442,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
