Agent,value x,value y,value z
Name,Sheep,Herbivore,23806
Gender,Male,,
Generation,1,,
Sex appeal,95,,
Multiple pregnancy,50.000065,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59594,59894,
Size,20,20,
Stamina,7515209,7515209,
Sense range,1040,,
Velocity,7.0,,
Position,-1381.5233,-1077.9192,-1359.0159
Satiate,true,,
Starving,false,,
Hunger,15030454,,
Leptin,18788072,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
