Agent,value x,value y,value z
Name,Sheep,Herbivore,32184
Gender,Male,,
Generation,1,,
Sex appeal,75,,
Multiple pregnancy,61.704674,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59518,59818,
Size,15,15,
Stamina,8017380,8017380,
Sense range,725,,
Velocity,5.0,,
Position,1864.4404,1760.6798,1250.5381
Satiate,true,,
Starving,false,,
Hunger,16034786,,
Leptin,20043488,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
