Agent,value x,value y,value z
Name,Sheep,Herbivore,24381
Gender,Male,,
Generation,1,,
Sex appeal,94,,
Multiple pregnancy,49.878494,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,61916,62216,
Size,19,19,
Stamina,10888418,10888418,
Sense range,1015,,
Velocity,5.0,,
Position,837.01465,-1213.4841,2071.015
Satiate,true,,
Starving,false,,
Hunger,21776870,,
Leptin,27221092,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
