Agent,value x,value y,value z
Name,Sheep,Herbivore,11635
Gender,Male,,
Generation,1,,
Sex appeal,60,,
Multiple pregnancy,50.00954,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59720,60020,
Size,20,20,
Stamina,10002689,10002689,
Sense range,1400,,
Velocity,6.0,,
Position,1494.3594,1952.7771,-1143.2339
Satiate,true,,
Starving,false,,
Hunger,20005414,,
Leptin,25006772,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
