Agent,value x,value y,value z
Name,Sheep,Herbivore,30650
Gender,Male,,
Generation,1,,
Sex appeal,100,,
Multiple pregnancy,49.271194,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,60153,60453,
Size,20,20,
Stamina,7589569,7589569,
Sense range,992,,
Velocity,6.0,,
Position,854.9429,-802.598,-1651.3733
Satiate,true,,
Starving,false,,
Hunger,15179174,,
Leptin,18973972,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
