Agent,value x,value y,value z
Name,Sheep,Herbivore,25439
Gender,Male,,
Generation,1,,
Sex appeal,62,,
Multiple pregnancy,45.094017,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,58126,58426,
Size,19,19,
Stamina,10198944,10198944,
Sense range,1018,,
Velocity,6.0,,
Position,-1614.911,1765.2655,2292.0925
Satiate,true,,
Starving,false,,
Hunger,20397922,,
Leptin,25497408,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
