Agent,value x,value y,value z
Name,Sheep,Herbivore,19486
Gender,Male,,
Generation,1,,
Sex appeal,72,,
Multiple pregnancy,49.997997,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59934,60234,
Size,14,14,
Stamina,10000007,10000007,
Sense range,1014,,
Velocity,5.0,,
Position,745.9957,113.89038,579.8137
Satiate,true,,
Starving,false,,
Hunger,20000038,,
Leptin,25000052,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
