Agent,value x,value y,value z
Name,Sheep,Herbivore,19820
Gender,Male,,
Generation,1,,
Sex appeal,113,,
Multiple pregnancy,49.966415,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,42103,42403,
Size,19,19,
Stamina,9999918,9999918,
Sense range,1114,,
Velocity,6.0,,
Position,-642.1112,-1352.1156,-249.06221
Satiate,true,,
Starving,false,,
Hunger,19999870,,
Leptin,24999842,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
