Agent,value x,value y,value z
Name,Sheep,Herbivore,14070
Gender,Male,,
Generation,1,,
Sex appeal,84,,
Multiple pregnancy,48.799984,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,65594,65894,
Size,17,17,
Stamina,10008143,10008143,
Sense range,1016,,
Velocity,6.0,,
Position,-1662.4739,987.35864,-791.11365
Satiate,true,,
Starving,false,,
Hunger,20016316,,
Leptin,25020400,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
