Agent,value x,value y,value z
Name,Sheep,Herbivore,844
Gender,Male,,
Generation,1,,
Sex appeal,74,,
Multiple pregnancy,40.846317,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,80187,80487,
Size,13,13,
Stamina,10015749,10015749,
Sense range,1009,,
Velocity,6.0,,
Position,639.2368,1103.5277,-4.315092
Satiate,true,,
Starving,false,,
Hunger,20031520,,
Leptin,25039404,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
