Agent,value x,value y,value z
Name,Sheep,Herbivore,13611
Gender,Male,,
Generation,1,,
Sex appeal,100,,
Multiple pregnancy,50.107418,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59967,60267,
Size,20,20,
Stamina,10479906,10479906,
Sense range,1024,,
Velocity,6.0,,
Position,-387.35364,2421.9512,-1392.4755
Satiate,true,,
Starving,false,,
Hunger,20959848,,
Leptin,26199816,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
