Agent,value x,value y,value z
Name,Sheep,Herbivore,29977
Gender,Male,,
Generation,1,,
Sex appeal,95,,
Multiple pregnancy,47.20519,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,40297,40597,
Size,19,19,
Stamina,9999341,9999341,
Sense range,1025,,
Velocity,6.0,,
Position,-858.4652,169.9566,-896.7748
Satiate,true,,
Starving,false,,
Hunger,19998716,,
Leptin,24998400,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
