Agent,value x,value y,value z
Name,Sheep,Herbivore,15845
Gender,Male,,
Generation,1,,
Sex appeal,65,,
Multiple pregnancy,50.01645,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,53934,54234,
Size,15,15,
Stamina,10070280,10070280,
Sense range,1014,,
Velocity,5.0,,
Position,2614.77,-274.14255,-1761.8345
Satiate,true,,
Starving,false,,
Hunger,20140586,,
Leptin,25175738,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
