Agent,value x,value y,value z
Name,Sheep,Herbivore,21411
Gender,Male,,
Generation,1,,
Sex appeal,102,,
Multiple pregnancy,54.48818,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59711,60011,
Size,23,23,
Stamina,10140038,10140038,
Sense range,971,,
Velocity,5.0,,
Position,482.4148,808.7734,1246.8562
Satiate,true,,
Starving,false,,
Hunger,20280118,,
Leptin,25350152,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
