Agent,value x,value y,value z
Name,Sheep,Herbivore,8434
Gender,Male,,
Generation,1,,
Sex appeal,135,,
Multiple pregnancy,50.43636,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,47427,47727,
Size,20,20,
Stamina,11271989,11271989,
Sense range,1020,,
Velocity,6.0,,
Position,3179.7598,1046.7631,-124.28343
Satiate,true,,
Starving,false,,
Hunger,22544014,,
Leptin,28180022,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
