Rank,Agent,Gen,Gender,Pregnancy,Children,Heterozygous,Homozygous,Size,Life,Stamina,Hunger,Starving
0,Sheep,1,Female,0,0,0,0,20,59700,12066299,24132634,false
1,Sheep,1,Male,0,0,0,0,19,40297,9999341,19998716,false
2,Sheep,1,Female,0,0,0,0,19,59700,9999994,20000022,false
3,Sheep,1,Male,0,0,0,0,13,80187,10015749,20031520,false
4,Sheep,1,Female,0,0,0,0,20,59522,10097445,20194926,false
5,Sheep,1,Male,0,0,0,0,19,43613,12069815,24139664,false
6,Sheep,1,Female,0,0,0,0,19,67200,10000773,20001580,false
7,Sheep,1,Male,0,0,0,0,19,42103,9999918,19999870,false
8,Sheep,1,Female,0,0,0,0,19,54122,9913002,19826038,false
9,Sheep,1,Male,0,0,0,0,20,59967,10479906,20959848,false
10,Sheep,1,Female,0,0,0,0,20,59700,10290888,20581812,false
11,Sheep,1,Male,0,0,0,0,15,59518,8017380,16034786,false
12,Sheep,1,Female,0,0,0,0,19,59876,10058732,20117498,false
13,Sheep,1,Male,0,0,0,0,23,59711,10140038,20280118,false
14,Sheep,1,Female,0,0,0,0,19,59684,9876984,19754002,false
15,Sheep,1,Male,0,0,0,0,19,61342,10132149,20264332,false
16,Sheep,1,Female,0,0,0,0,19,59785,10411364,20822762,false
17,Sheep,1,Male,0,0,0,0,19,59699,9999999,20000032,false
18,Sheep,1,Female,0,0,0,0,20,70393,9567144,19134324,false
19,Sheep,1,Male,0,0,0,0,19,58126,10198944,20397922,false
20,Sheep,1,Female,0,0,0,0,19,59212,7587397,15174828,false
21,Sheep,1,Male,0,0,0,0,17,65594,10008143,20016316,false
22,Sheep,1,Female,0,0,0,0,20,59877,9670692,19341420,false
23,Sheep,1,Male,0,0,0,0,19,72587,8004570,16009174,false
24,Sheep,1,Female,0,0,0,0,22,59636,12559063,25118166,false
25,Sheep,1,Male,0,0,0,0,20,40239,7872131,15744298,false
26,Sheep,1,Female,0,0,0,0,15,59955,9986959,19973944,false
27,Sheep,1,Male,0,0,0,0,19,61916,10888418,21776870,false
28,Sheep,1,Female,0,0,0,0,20,56865,10301122,20602280,false
29,Sheep,1,Male,0,0,0,0,14,59934,10000007,20000038,false
30,Sheep,1,Female,0,0,0,0,20,56934,9999999,20000034,false
31,Sheep,1,Male,0,0,0,0,20,59594,7515209,15030454,false
32,Sheep,1,Female,0,0,0,0,19,59594,11013727,22027488,false
33,Sheep,1,Male,0,0,0,0,14,65179,9885119,19770262,false
34,Sheep,1,Female,0,0,0,0,20,59683,10000000,20000036,false
35,Sheep,1,Male,0,0,0,0,15,53934,10070280,20140586,false
36,Sheep,1,Female,0,0,0,0,20,73835,11091536,22183108,false
37,Sheep,1,Male,0,0,0,0,20,59720,10002689,20005414,false
38,Sheep,1,Female,0,0,0,0,19,59701,10003148,20006330,false
39,Sheep,1,Male,0,0,0,0,20,80902,8551046,17102128,false
40,Sheep,1,Female,0,0,0,0,18,68900,10240018,20480068,false
41,Sheep,1,Male,0,0,0,0,27,59701,6762150,13524350,false
42,Sheep,1,Female,0,0,0,0,20,77755,9996726,19993488,false
43,Sheep,1,Male,0,0,0,0,21,83288,10110073,20220184,false
44,Sheep,1,Female,0,0,0,0,20,59700,10000000,20000036,false
45,Sheep,1,Male,0,0,0,0,20,47427,11271989,22544014,false
46,Sheep,1,Female,0,0,0,0,20,59697,9978011,19956058,false
47,Sheep,1,Male,0,0,0,0,20,59844,10067932,20135900,false
48,Sheep,1,Female,0,0,0,0,26,59699,10000002,20000188,false
49,Sheep,1,Male,0,0,0,0,20,60153,7589569,15179174,false
