Agent,value x,value y,value z
Name,Sheep,Herbivore,21167
Gender,Male,,
Generation,1,,
Sex appeal,78,,
Multiple pregnancy,49.95757,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59849,60025,
Size,20,20,
Stamina,10508969,10508969,
Sense range,1092,,
Velocity,7.0,,
Position,-9.892453,1203.882,2018.2954
Satiate,true,,
Starving,false,,
Hunger,21017974,,
Leptin,26272472,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
