Agent,value x,value y,value z
Name,Sheep,Herbivore,6750
Gender,Male,,
Generation,1,,
Sex appeal,100,,
Multiple pregnancy,50.015495,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59856,60032,
Size,20,20,
Stamina,12963484,12963484,
Sense range,946,,
Velocity,6.0,,
Position,676.6649,942.74854,1288.6586
Satiate,true,,
Starving,false,,
Hunger,25927004,,
Leptin,32408760,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
