Agent,value x,value y,value z
Name,Sheep,Herbivore,10905
Gender,Male,,
Generation,1,,
Sex appeal,100,,
Multiple pregnancy,56.26837,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59818,59994,
Size,20,20,
Stamina,10033119,10033119,
Sense range,1067,,
Velocity,4.0,,
Position,1777.5298,1069.0568,610.57837
Satiate,true,,
Starving,false,,
Hunger,20066274,,
Leptin,25082848,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
