Agent,value x,value y,value z
Name,Sheep,Herbivore,23676
Gender,Male,,
Generation,1,,
Sex appeal,106,,
Multiple pregnancy,45.24348,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59825,60001,
Size,21,21,
Stamina,6155313,6155313,
Sense range,1022,,
Velocity,5.0,,
Position,13.441464,1137.3154,-711.3231
Satiate,true,,
Starving,false,,
Hunger,12310664,,
Leptin,15388335,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
