Agent,value x,value y,value z
Name,Sheep,Herbivore,2144
Gender,Male,,
Generation,1,,
Sex appeal,90,,
Multiple pregnancy,49.999992,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,63985,64161,
Size,18,18,
Stamina,9906215,9906215,
Sense range,672,,
Velocity,6.0,,
Position,1642.7886,396.1605,-2243.1848
Satiate,true,,
Starving,false,,
Hunger,19812462,,
Leptin,24765582,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
