Agent,value x,value y,value z
Name,Sheep,Herbivore,1754
Gender,Male,,
Generation,1,,
Sex appeal,96,,
Multiple pregnancy,41.89758,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,60771,60947,
Size,19,19,
Stamina,10837213,10837213,
Sense range,1021,,
Velocity,6.0,,
Position,150.02417,1215.8322,-667.85547
Satiate,true,,
Starving,false,,
Hunger,21674460,,
Leptin,27093080,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
