Agent,value x,value y,value z
Name,Sheep,Herbivore,20498
Gender,Male,,
Generation,1,,
Sex appeal,51,,
Multiple pregnancy,50.66199,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59823,59999,
Size,12,12,
Stamina,9988086,9988086,
Sense range,1012,,
Velocity,8.0,,
Position,3317.055,-230.79437,-439.94763
Satiate,true,,
Starving,false,,
Hunger,19976192,,
Leptin,24970244,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
