Agent,value x,value y,value z
Name,Sheep,Herbivore,12353
Gender,Male,,
Generation,1,,
Sex appeal,75,,
Multiple pregnancy,47.02701,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59817,59993,
Size,15,15,
Stamina,9842810,9842810,
Sense range,1037,,
Velocity,5.0,,
Position,1328.3671,1013.39215,-106.973404
Satiate,true,,
Starving,false,,
Hunger,19685646,,
Leptin,24607062,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
