Agent,value x,value y,value z
Name,Sheep,Herbivore,32076
Gender,Male,,
Generation,1,,
Sex appeal,104,,
Multiple pregnancy,51.424194,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,61981,62157,
Size,21,21,
Stamina,9640556,9640556,
Sense range,1015,,
Velocity,4.0,,
Position,1046.7495,223.65654,-380.4568
Satiate,true,,
Starving,false,,
Hunger,19281150,,
Leptin,24101442,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
