Agent,value x,value y,value z
Name,Sheep,Herbivore,2826
Gender,Male,,
Generation,1,,
Sex appeal,96,,
Multiple pregnancy,38.918026,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,55382,55558,
Size,20,20,
Stamina,10041130,10041130,
Sense range,663,,
Velocity,6.0,,
Position,-134.52419,1896.8674,129.80579
Satiate,true,,
Starving,false,,
Hunger,20082296,,
Leptin,25102876,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
