Agent,value x,value y,value z
Name,Sheep,Herbivore,21148
Gender,Male,,
Generation,1,,
Sex appeal,99,,
Multiple pregnancy,50.51026,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,73976,74152,
Size,20,20,
Stamina,10000930,10000930,
Sense range,1020,,
Velocity,6.0,,
Position,410.44257,237.9457,-645.05804
Satiate,true,,
Starving,false,,
Hunger,20001896,,
Leptin,25002376,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
