Agent,value x,value y,value z
Name,Sheep,Herbivore,14401
Gender,Male,,
Generation,1,,
Sex appeal,88,,
Multiple pregnancy,49.997005,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,60126,60302,
Size,19,19,
Stamina,10000111,10000111,
Sense range,1019,,
Velocity,6.0,,
Position,-1649.7953,543.5444,-576.7389
Satiate,true,,
Starving,false,,
Hunger,20000256,,
Leptin,25000324,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
