Agent,value x,value y,value z
Name,Sheep,Herbivore,15125
Gender,Male,,
Generation,1,,
Sex appeal,134,,
Multiple pregnancy,47.4108,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59522,59698,
Size,20,20,
Stamina,10024186,10024186,
Sense range,989,,
Velocity,6.0,,
Position,-392.4887,24.680841,742.8486
Satiate,true,,
Starving,false,,
Hunger,20048408,,
Leptin,25060516,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
