Agent,value x,value y,value z
Name,Sheep,Herbivore,27775
Gender,Male,,
Generation,1,,
Sex appeal,133,,
Multiple pregnancy,50.027405,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59834,60010,
Size,27,27,
Stamina,10025405,10025405,
Sense range,1000,,
Velocity,6.0,,
Position,-27.1401,1674.3326,-206.04475
Satiate,true,,
Starving,false,,
Hunger,20050860,,
Leptin,25063580,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
