Agent,value x,value y,value z
Name,Sheep,Herbivore,23916
Gender,Male,,
Generation,1,,
Sex appeal,100,,
Multiple pregnancy,60.87552,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,65841,66017,
Size,20,20,
Stamina,10063635,10063635,
Sense range,1121,,
Velocity,4.0,,
Position,289.29968,-385.22623,1303.3552
Satiate,true,,
Starving,false,,
Hunger,20127306,,
Leptin,25159138,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
