Agent,value x,value y,value z
Name,Sheep,Herbivore,14244
Gender,Male,,
Generation,1,,
Sex appeal,60,,
Multiple pregnancy,50.00571,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,60539,60853,
Size,12,12,
Stamina,10000000,10000000,
Sense range,1055,,
Velocity,5.0,,
Position,1034.8436,884.0051,433.22955
Satiate,true,,
Starving,false,,
Hunger,20000004,,
Leptin,25000030,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
