Agent,value x,value y,value z
Name,Sheep,Herbivore,8875
Gender,Male,,
Generation,1,,
Sex appeal,61,,
Multiple pregnancy,49.93601,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,60838,61152,
Size,19,19,
Stamina,10075581,10075581,
Sense range,710,,
Velocity,6.0,,
Position,-807.6976,2025.9779,-1465.7139
Satiate,true,,
Starving,false,,
Hunger,20151180,,
Leptin,25189000,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
