Agent,value x,value y,value z
Name,Sheep,Herbivore,23930
Gender,Male,,
Generation,1,,
Sex appeal,95,,
Multiple pregnancy,49.925747,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59682,59996,
Size,19,19,
Stamina,9201669,9201669,
Sense range,1019,,
Velocity,5.0,,
Position,1515.9373,-119.23909,-43.863377
Satiate,true,,
Starving,false,,
Hunger,18403356,,
Leptin,23004220,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
