Agent,value x,value y,value z
Name,Sheep,Herbivore,10127
Gender,Male,,
Generation,1,,
Sex appeal,100,,
Multiple pregnancy,46.09899,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,60486,60800,
Size,19,19,
Stamina,9717105,9717105,
Sense range,792,,
Velocity,6.0,,
Position,1171.6499,1888.1652,-910.6719
Satiate,true,,
Starving,false,,
Hunger,19434228,,
Leptin,24292810,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
