Agent,value x,value y,value z
Name,Sheep,Herbivore,25092
Gender,Male,,
Generation,1,,
Sex appeal,106,,
Multiple pregnancy,49.81459,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59633,59947,
Size,22,22,
Stamina,6819172,6819172,
Sense range,1022,,
Velocity,6.0,,
Position,1521.6211,1498.2112,747.1523
Satiate,true,,
Starving,false,,
Hunger,13638368,,
Leptin,17047984,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
