Agent,value x,value y,value z
Name,Sheep,Herbivore,12150
Gender,Male,,
Generation,1,,
Sex appeal,69,,
Multiple pregnancy,52.241226,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59685,59999,
Size,19,19,
Stamina,9995403,9995403,
Sense range,1001,,
Velocity,6.0,,
Position,1025.508,278.36746,-1758.2905
Satiate,true,,
Starving,false,,
Hunger,19990824,,
Leptin,24988556,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
