Agent,value x,value y,value z
Name,Sheep,Herbivore,2816
Gender,Male,,
Generation,1,,
Sex appeal,112,,
Multiple pregnancy,48.725967,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59994,60308,
Size,19,19,
Stamina,7651560,7651560,
Sense range,934,,
Velocity,6.0,,
Position,1280.635,-1105.7563,-846.13184
Satiate,true,,
Starving,false,,
Hunger,15303138,,
Leptin,19128948,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
