Agent,value x,value y,value z
Name,Sheep,Herbivore,14229
Gender,Male,,
Generation,1,,
Sex appeal,88,,
Multiple pregnancy,50.00344,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,42154,42468,
Size,18,18,
Stamina,10402918,10402918,
Sense range,945,,
Velocity,6.0,,
Position,2768.4407,1515.6431,1504.7295
Satiate,true,,
Starving,false,,
Hunger,20805852,,
Leptin,26007340,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
