Agent,value x,value y,value z
Name,Sheep,Herbivore,20097
Gender,Male,,
Generation,1,,
Sex appeal,107,,
Multiple pregnancy,49.994125,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59687,60001,
Size,19,19,
Stamina,11196119,11196119,
Sense range,1018,,
Velocity,5.0,,
Position,1048.1035,797.1737,-2260.7703
Satiate,true,,
Starving,false,,
Hunger,22392256,,
Leptin,27990344,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
