Agent,value x,value y,value z
Name,Sheep,Herbivore,9163
Gender,Male,,
Generation,1,,
Sex appeal,123,,
Multiple pregnancy,48.492744,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,55330,55644,
Size,19,19,
Stamina,10032347,10032347,
Sense range,1020,,
Velocity,6.0,,
Position,780.70166,2409.784,-200.06293
Satiate,true,,
Starving,false,,
Hunger,20064712,,
Leptin,25080916,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
